0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0.0270270	0.0540541	0.0270270	0.0270270	0.0270270	0.0540541	0.0270270	0.0540541	0.0540541	0.0540541	0.0540541	0.0540541	0.0540541	0.0540541	0.0810811	0.2972973
0.1176471	0.0294118	0.0294118	0.0294118	0.0294118	0.0588235	0.0294118	0.0882353	0.0882353	0.0882353	0.0588235	0.0294118	0.0588235	0.0294118	0.0294118	0.2058824
0.1176471	0.0294118	0.1176471	0.1176471	0.0294118	0.0588235	0.0588235	0.0294118	0.0588235	0.0294118	0.0588235	0.0294118	0.0588235	0.0588235	0.0294118	0.1176471
0.3548387	0.0645161	0.0322581	0.0322581	0.0322581	0.0322581	0.0645161	0.0967742	0.0645161	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581
0.1000000	0.0333333	0.0333333	0.0666667	0.0333333	0.0333333	0.0333333	0.0666667	0.0333333	0.0333333	0.0333333	0.0333333	0.1000000	0.1000000	0.0666667	0.2000000
0.3333333	0.0222222	0.0888889	0.0444444	0.0444444	0.0444444	0.0222222	0.0444444	0.1111111	0.0666667	0.0444444	0.0222222	0.0444444	0.0222222	0.0222222	0.0222222
0.2500000	0.1388889	0.0277778	0.1388889	0.0277778	0.0555556	0.0277778	0.0277778	0.0555556	0.0277778	0.0277778	0.0555556	0.0555556	0.0277778	0.0277778	0.0277778
0.0357143	0.0357143	0.0357143	0.0714286	0.0357143	0.0357143	0.0714286	0.0357143	0.0357143	0.0714286	0.0714286	0.0357143	0.0714286	0.0357143	0.0714286	0.2500000
0.0243902	0.0243902	0.0243902	0.0243902	0.0243902	0.0243902	0.0243902	0.0243902	0.0243902	0.0487805	0.0243902	0.0243902	0.0731707	0.0731707	0.0487805	0.4878049
0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0555556	0.0555556	0.1111111	0.0555556	0.0277778	0.4166667
0.1081081	0.0270270	0.0270270	0.0270270	0.0810811	0.0540541	0.0810811	0.0810811	0.1081081	0.0810811	0.1081081	0.0540541	0.0270270	0.0270270	0.0540541	0.0540541
0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0909091	0.4848485
0.0227273	0.0227273	0.0227273	0.0227273	0.0227273	0.0227273	0.0227273	0.0227273	0.0227273	0.0227273	0.0227273	0.0454545	0.0227273	0.0227273	0.0454545	0.6136364
0.0344828	0.0344828	0.0344828	0.0344828	0.0344828	0.0344828	0.0344828	0.0344828	0.0344828	0.0344828	0.0344828	0.0344828	0.0344828	0.0689655	0.0689655	0.4137931
0.2424242	0.0606061	0.0606061	0.0303030	0.0303030	0.0303030	0.0606061	0.0303030	0.0909091	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.0303030	0.1818182
0.0277778	0.0277778	0.0277778	0.0555556	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0833333	0.0555556	0.0555556	0.0555556	0.0555556	0.3888889
0.1666667	0.0333333	0.0333333	0.0666667	0.0333333	0.0333333	0.0333333	0.0333333	0.0666667	0.0333333	0.1000000	0.0666667	0.1000000	0.0333333	0.0333333	0.1333333
