workerid,language,enjoyment,gender,age,comments,asses,education
0,English,2,Male,30,,Yes,2
1,English,1,Female,26,,Yes,3
2,English,2,Female,27,Fun! Thanks!,Yes,4
3,english,2,Male,23,,Yes,2
4,english,2,Female,32,,Yes,2
5,English,2,Female,30,none. thank you,Yes,3
6,English,1,Male,33,,Yes,3
7,ENGLISH,2,Male,27,Thank you,Yes,-1
8,English,2,Male,25,,Yes,2
9,english,1,Male,26,,No,3
10,English,1,Male,23,,Yes,3
11,English,2,Male,23,,Yes,2
12,English,2,Male,23,,Yes,2
13,English,1,Male,28,,Yes,2
14,English,2,Female,26,,Yes,3
15,English,2,Male,31,N/A,Yes,2
16,english,1,Female,37,,Yes,2
17,,1,Male,50,,Yes,2
18,English,1,Male,29,,Yes,2
19,English,1,Male,22,,Yes,3
20,English,2,Female,47,,Yes,2
21,english,1,Male,23,great hit,Yes,1
22,English,2,Female,44,It was fun.,Yes,3
23,English,2,Male,33,Thanks! ,Yes,1
24,English,2,Female,34,,Yes,2
25,English,2,Male,27,,Yes,2
26,English,2,Male,50,"Interesting task, thanks.",Yes,1
27,English,2,Female,50,None. Thanks!,Yes,2
28,english,2,Male,24,,Yes,2
29,english,1,Female,52,THANKS,Yes,2
30,English,1,Female,21,,Yes,2
31,English,2,Female,24,,Confused,2
32,english,2,Male,41,,Yes,3
33,ENGLISH,1,Female,57,,Yes,2
34,English,1,Male,40,,Confused,1
35,english,1,Male,28,Worked great.,Yes,2
36,english,1,Female,59,none,Yes,3
37,English,2,Male,31,"Fun, unique, and interesting.",Yes,1
38,English,2,Male,25,"Please consider me if you have any qualifications available now or in the future, thanks! :)",Yes,2
39,English,2,Male,31,,Yes,4
40,English,2,Male,34,,Yes,2
41,English,2,Male,36,,Yes,3
42,English,2,Female,38,,Yes,2
43,English,2,Female,32,I thought this was fun! I always think it&quotechars neat to think about how we say things and how the things we say can have multiple meanings depending on who is listening.,Yes,3
44,English,1,Female,31,None,Yes,0
45,English,1,Male,26,,Yes,3
46,english,2,Male,35,,Yes,3
47,english,1,Female,34,n/a,Yes,2
48,English,1,Female,34,,No,4
49,English,2,Male,24,,Yes,2
50,English,1,Female,28,,Yes,3
51,English,2,Male,24,,Yes,3
52,English,1,Male,27,none,Yes,3
53,english,1,Male,28,,Yes,1
54,eNGLISH,1,Female,37,,Yes,1
55,English,1,Male,25,Cheers.,Yes,2
56,English,2,Male,22,,Yes,1
57,English,1,Female,61,,Yes,3
58,english,1,Male,28,n/a,Yes,3
59,English,2,Male,54,Thanks for the interesting opportunity!,Yes,0
