0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0.0034648	0.0066820	0.0128868	0.0248532	0.0267021	0.0404896	0.0511508	0.0634522	0.0828939	0.0969390	0.1330966	0.1013856	0.0937750	0.0856328	0.0945480	0.0820476
0.0388885	0.0456540	0.0467328	0.0568728	0.0635015	0.0679041	0.0709341	0.0731792	0.0896133	0.1088843	0.1056513	0.0792872	0.0537578	0.0386518	0.0310402	0.0294470
0.0459291	0.0629259	0.0824340	0.0894732	0.0640408	0.0644075	0.0678822	0.0530259	0.0595312	0.0671802	0.0562154	0.0450583	0.0520532	0.0571791	0.0625011	0.0701630
0.0870043	0.0938861	0.1127151	0.1090376	0.0815834	0.0823057	0.0704973	0.0830365	0.0832973	0.0508916	0.0360624	0.0336879	0.0224699	0.0190124	0.0221210	0.0123913
0.0000620	0.0002724	0.0011987	0.0052752	0.0232157	0.1021723	0.0631380	0.0612037	0.0912859	0.1036063	0.2593869	0.0661675	0.0468518	0.0218321	0.0541920	0.1001396
0.0278636	0.0349986	0.0868120	0.1090235	0.0831797	0.1167135	0.0652008	0.0501140	0.0521935	0.0272859	0.0372108	0.0478300	0.0726998	0.0499523	0.0441649	0.0947574
0.0271592	0.1807779	0.1862379	0.0697826	0.0344701	0.1648373	0.0704274	0.0602590	0.0854581	0.0128778	0.0021938	0.0020540	0.0117865	0.0781700	0.0117439	0.0017644
0.0000533	0.0001898	0.0006763	0.0024105	0.0085922	0.0306273	0.0237192	0.0605759	0.1237482	0.0734351	0.1586184	0.1092022	0.0903693	0.0673708	0.0832252	0.1671861
0.0000093	0.0000482	0.0002519	0.0013192	0.0069108	0.0362047	0.0082699	0.0086985	0.0389605	0.0214459	0.0774854	0.0364779	0.1205811	0.0740435	0.1000559	0.4692373
0.0003819	0.0011740	0.0036101	0.0111016	0.0341395	0.0157313	0.0193527	0.0500752	0.0616676	0.0703637	0.0883414	0.0515221	0.0868532	0.0653031	0.1352019	0.3051804
